Position,"Track Name",Artist,Streams,URL
1,"All I Need","Joakim Lundell",2392663,https://open.spotify.com/track/6vBgJ1SLmpB4VMcEVy1ovL
2,"It Ain't Me (with Selena Gomez)",Kygo,2356664,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
3,"Shape of You","Ed Sheeran",2327745,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
4,"Something Just Like This","The Chainsmokers",1758358,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
5,"Scared to Be Lonely","Martin Garrix",1489664,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
6,"As I Lay Me Down",Wiktoria,1307981,https://open.spotify.com/track/5VIZcrKXPd9wL4hqE4YN8z
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1263590,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
8,"Chained To The Rhythm","Katy Perry",1210495,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
9,Paris,"The Chainsmokers",1182010,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
10,"How Far I'll Go - From ""Moana""","Alessia Cara",1137240,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
11,Issues,"Julia Michaels",1103506,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
12,"Gotta Thing About You",FO&O,1069623,https://open.spotify.com/track/1dbWrAchrTMYxhbCjbtg6X
13,"I Can´t Go On","Robin Bengtsson",1052274,https://open.spotify.com/track/57Y51hxqMn2j3dosW75R6n
14,"Castle on the Hill","Ed Sheeran",1038219,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
15,"I Love You","Axwell /\ Ingrosso",1037122,https://open.spotify.com/track/11Fo4dAH31K7UZHGqCkCmE
16,"Good Lovin'","Benjamin Ingrosso",931821,https://open.spotify.com/track/4EnYTyWAlXNo3K7Ayxh3NT
17,"Solo Dance","Martin Jensen",930552,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
18,"Hold On - D&B Version",Nano,850158,https://open.spotify.com/track/3mXXkDfLaCN5IaZpHVJPth
19,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",844173,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
20,"Kiss You Goodbye","Anton Hagman",818359,https://open.spotify.com/track/2CKFFnG21nC5ssngZV8Yi5
21,"5 fine frøkner",Gabrielle,815075,https://open.spotify.com/track/2tFgv3sLFNc088KLtjxzVa
22,"Road Trip","De Vet Du",776253,https://open.spotify.com/track/53HCk0K40gzfdHnz0yMNE0
23,"Say You Won't Let Go","James Arthur",768076,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
24,"Call On Me - Ryan Riback Extended Remix",Starley,750071,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
25,Believer,"Imagine Dragons",747070,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
26,"En värld full av strider - Eatneme gusnie jeenh dåaroeh","Jon Henrik Fjällgren",716693,https://open.spotify.com/track/6EbzYIiVoxMeYig8e5pm1T
27,"It's Gotta Be You",Isaiah,708582,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
28,Weak,AJR,708237,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
29,"I Feel It Coming","The Weeknd",690731,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
30,Statements,Loreen,685282,https://open.spotify.com/track/0tUh8HzIVpZPFW7HzE5Vhk
31,"All Night","The Vamps",684164,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
32,Cold,"Maroon 5",631092,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
33,"I Don´t Give A","Lisa Ajax",621225,https://open.spotify.com/track/5AWtyrY4AiMBfM2KV2hAC6
34,Gråzon,Hov1,620079,https://open.spotify.com/track/6cfGXm5yLVqqh8OgyoUlJo
35,History,"Olivia Holt",617357,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
36,"A Million Years",Mariette,616083,https://open.spotify.com/track/5Ba9wvTCOui7xlPtwoUmaR
37,"Helium - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Sia,607723,https://open.spotify.com/track/5fc6rQgAKiLutfUYWQ6QnJ
38,"Stay (with Alessia Cara)",Zedd,606233,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
39,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",579308,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
40,"All Time Low","Jon Bellion",578918,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
41,Slide,"Calvin Harris",578909,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
42,Alone,"Alan Walker",578223,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
43,Starboy,"The Weeknd",562734,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
44,"Lights Out (Too Drunk) [feat. Hayley]","DJ Katch",531822,https://open.spotify.com/track/5Oh3cW5gnEEKPsHb1WrVWm
45,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",527137,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
46,"Hear Me Now",Alok,519265,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
47,Crucified,"Bella & Filippa",514873,https://open.spotify.com/track/22XLejydTArtMDaGEVRRdX
48,"Did It For The Fame","Sabina Ddumba",459759,https://open.spotify.com/track/48SDCCacrI1hM1wImM0IZF
49,Love,"Lana Del Rey",441931,https://open.spotify.com/track/0n2bvWvMwr0gbjcuTm92eW
50,"So Good","Zara Larsson",426906,https://open.spotify.com/track/54LGxQGf5LPXNGjtzDZ5IE
51,"Wild Child","Ace Wilder",405674,https://open.spotify.com/track/3FtVPxBNvwtRksGhN4oKQz
52,Closer,"The Chainsmokers",405188,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
53,"Just Hold On","Steve Aoki",404456,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
54,"Nån Annan","Dani M",385395,https://open.spotify.com/track/2sQOFwtjo6sjNoutONMyUJ
55,"När ingen ser","Axel Schylström",378093,https://open.spotify.com/track/5cAgat02lrCcVVogqn1qsu
56,Birthday,"JP Cooper",374711,https://open.spotify.com/track/0eCkBrobTQFiBVqa1p92KA
57,"When You Love Someone","James TW",374039,https://open.spotify.com/track/5fX2oPyLCe5mBKqGDbOWqC
58,"Lighthouse - Andrelli Remix","Hearts & Colors",367773,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo
59,"I Got You","Bebe Rexha",359761,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
60,"How Would You Feel (Paean)","Ed Sheeran",338147,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
61,"Live Love Learn",Sondr,306553,https://open.spotify.com/track/6Nm0PIjQHqW8OxQlNB2ze9
62,Gravity,"Jasmine Kara",299031,https://open.spotify.com/track/0EgWPK90G0BlnP00LdKnGK
