Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",276591,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"New Rules","Dua Lipa",255718,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
3,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",255299,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
4,Attention,"Charlie Puth",247265,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
5,Mama,"Jonas Blue",231336,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
6,"2U (feat. Justin Bieber)","David Guetta",230985,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
7,"Friends (with BloodPop®)","Justin Bieber",224189,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
8,"Shape of You","Ed Sheeran",206719,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
9,"Strip That Down","Liam Payne",206178,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
10,Feels,"Calvin Harris",196097,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
11,"Sorry Not Sorry","Demi Lovato",196069,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
12,"More Than You Know","Axwell /\ Ingrosso",196017,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
13,Havana,"Camila Cabello",191899,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
14,"There for You","Martin Garrix",187118,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
15,"I'm the One","DJ Khaled",176809,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
16,"Something Just Like This","The Chainsmokers",176085,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
17,"Without You (feat. Sandro Cavazza)",Avicii,173709,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
18,"I Like Me Better",Lauv,167174,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
19,Thunder,"Imagine Dragons",162996,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
20,"There's Nothing Holdin' Me Back","Shawn Mendes",153729,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
21,Silence,Marshmello,153305,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
22,"Your Song","Rita Ora",152951,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
23,"No Promises (feat. Demi Lovato)","Cheat Codes",152888,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
24,"Symphony (feat. Zara Larsson)","Clean Bandit",151640,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
25,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",146584,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
26,"Glorious (feat. Skylar Grey)",Macklemore,144189,https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR
27,"Fetish (feat. Gucci Mane)","Selena Gomez",142492,https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq
