Position,"Track Name",Artist,Streams,URL
1,"Something Just Like This","The Chainsmokers",239505,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
2,"Shape of You","Ed Sheeran",205441,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Stay (with Alessia Cara)",Zedd,161971,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
4,"Symphony (feat. Zara Larsson)","Clean Bandit",154314,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
5,"It Ain't Me (with Selena Gomez)",Kygo,148025,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
6,Paris,"The Chainsmokers",135723,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
7,"That's What I Like","Bruno Mars",124897,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
8,"Scared to Be Lonely","Martin Garrix",118944,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,112728,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
10,演員,"Joker Xue",105990,https://open.spotify.com/track/6LunoYd3xpZ19sICOXS8Xd
11,Slide,"Calvin Harris",100057,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
12,"Galway Girl","Ed Sheeran",98732,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
13,Closer,"The Chainsmokers",97945,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
14,Issues,"Julia Michaels",90041,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
15,Cold,"Maroon 5",86089,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
16,"Say You Won't Let Go","James Arthur",84530,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
17,後來的我們,Mayday,84483,https://open.spotify.com/track/0qepAQsUGIzofBj82iP17C
18,"光年之外 (電影 《Passengers》 中國區主題曲)",G.E.M.,81515,https://open.spotify.com/track/1bkvGbgK4HU8B7Ue4k7O7I
19,Passionfruit,Drake,81176,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
20,"The One","The Chainsmokers",81002,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
21,"How Far I'll Go - From ""Moana""","Alessia Cara",80650,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
22,凡人歌,Mayday,78805,https://open.spotify.com/track/3M6DkD5SjZ140lf7V6OxPz
23,"Call On Me - Ryan Riback Extended Remix",Starley,75035,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
24,"Castle on the Hill","Ed Sheeran",73783,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
25,"Solo Dance","Martin Jensen",71604,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
26,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",69717,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
27,Believer,"Imagine Dragons",67757,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
28,"Stay With Me",Chanyeol,67479,https://open.spotify.com/track/1HYzRuWjmS9LXCkdVHi25K
29,帥到分手,NICKTHEREAL,66248,https://open.spotify.com/track/2tG6FZtaX5NPWFA64d8DWz
30,"Chained To The Rhythm","Katy Perry",65710,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
31,Faded,"Alan Walker",63546,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
32,飄向北方,Namewee,59126,https://open.spotify.com/track/5mS0BGxAAebA3amJg6LkVk
33,"Green Light",Lorde,58496,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
34,你啊你啊,"Waa Wei",57563,https://open.spotify.com/track/4nyO1azSuhT5JrETvzEahs
35,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""","Eric Chou",57507,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
36,Perfect,"Ed Sheeran",56097,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
37,美女と野獣,"Ariana Grande",55828,https://open.spotify.com/track/1KT0xdIjm7t053xByACrrg
38,不為誰而作的歌,"JJ Lin",55789,https://open.spotify.com/track/0VqSdtXseb9khdZrnYVyM1
39,年輪說,"Rainie Yang",55105,https://open.spotify.com/track/51PYzHOuwTngW2whaPoYFW
40,"I Feel It Coming","The Weeknd",53500,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
41,謝謝妳愛我,R-chord,53336,https://open.spotify.com/track/2mjJn3jZaam3Z7qgtKMNrq
42,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",52855,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
43,Happier,"Ed Sheeran",51689,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
44,Starboy,"The Weeknd",50286,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
45,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",46290,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
46,Heatstroke,"Calvin Harris",45682,https://open.spotify.com/track/60APt5N2NRaKWf5xzJdzyC
47,"好好 (想把你寫成一首歌)",Mayday,44472,https://open.spotify.com/track/2G1kCLtTmaRPnTukpriHO8
48,"All We Know","The Chainsmokers",43860,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
49,"Still Got Time",ZAYN,43513,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
50,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",41807,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
51,Weak,AJR,41353,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
52,Dive,"Ed Sheeran",40601,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
53,"Bad Things (with Camila Cabello)","Machine Gun Kelly",40205,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
54,"Mask Off",Future,38599,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
55,派對動物,Mayday,38338,https://open.spotify.com/track/3HwyNPs2e1iaD9slrimZ2Q
56,Selfish,Future,38226,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
57,同在,"Xiao Yu",37753,https://open.spotify.com/track/6mi1omJWULylMHDJqxOiiO
58,"Just Hold On","Steve Aoki",37271,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
59,以後別做朋友,"Eric Chou",36631,https://open.spotify.com/track/7zyYmIdjqqiX6kLryb7QBx
60,"All Night","The Vamps",36163,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
61,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",35972,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
62,"KNOCK KNOCK",TWICE,34938,https://open.spotify.com/track/3rQjCycDV0Ibadg6A1Nq45
63,"You Don't Know Me - Radio Edit","Jax Jones",34874,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
64,大齡女子,"Julia Peng",34320,https://open.spotify.com/track/4pkUru7mlNlEP5B5urUbGL
65,一百種孤獨的理由,"Jocie Kok",34307,https://open.spotify.com/track/6oUZpsTiEgAsUWkE1ZLClu
66,如果我們不曾相遇,Mayday,33558,https://open.spotify.com/track/2TmALSxWNkmpqPSDf8JJ3X
67,Location,Khalid,32975,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
68,"The Ocean","Mike Perry",32247,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
69,"No Promises (feat. Demi Lovato)","Cheat Codes",32077,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
70,HUMBLE.,"Kendrick Lamar",32067,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
71,"September Song","JP Cooper",31500,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
72,"Good Life (with G-Eazy & Kehlani)",G-Eazy,31114,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
73,"寂寞無害(八大韓劇”拜託了媽媽”片頭曲) - GTV Korean Series ""All about My Mom"" Opening Theme Song","Eve Ai",31042,https://open.spotify.com/track/5hVaRXaXgpN9lNK61oyz2I
74,孤獨是會上癮的,"Kenji Wu",30317,https://open.spotify.com/track/2fmUFSA8GV3SusglOWgltw
75,可惜沒如果,"JJ Lin",30298,https://open.spotify.com/track/6WoQzK5Exbfcmow1AoNRkl
76,"Spring Day",BTS,30289,https://open.spotify.com/track/02q0ZnV2L4XByzEvWZJqBC
77,"幸福太短 (電視劇「奇妙的時光之旅」片尾曲) - Ending theme song of TV Drama ""Magical Space-Time""",A-Lin,30031,https://open.spotify.com/track/4bUXlEJRyV5YGERzh7AHuy
78,Liability,Lorde,30003,https://open.spotify.com/track/0or0gNaKAXYYCsOrpvRzAu
79,我愛的人不愛我,Z-Chen,29785,https://open.spotify.com/track/7ClKYu6ngiXnz4M8zWQ1AW
80,"不將就 - 電影《何以笙簫默》片尾曲","Ronghao Li",29703,https://open.spotify.com/track/5DH8nF7aWoXXg5Sm3gjCWD
81,是我不夠好,"Tia Lee",29050,https://open.spotify.com/track/1rAywAtbOxHszio4OTwYPf
82,星之所向,小球,28661,https://open.spotify.com/track/5Gy8vRrST3td3W9ALb3M7Q
83,泡沫,G.E.M.,28497,https://open.spotify.com/track/2IfSPLPDW6RGosdB5huwAA
84,"At My Best (feat. Hailee Steinfeld)","Machine Gun Kelly",28475,https://open.spotify.com/track/77lGafvlU68CeHgB2pkHC9
85,突然好想你,Mayday,28347,https://open.spotify.com/track/3mTmGzRwgPPqLSi7Smvkxt
86,History,"Olivia Holt",28110,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
87,Alone,"Alan Walker",27870,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
88,"iSpy (feat. Lil Yachty)",KYLE,27836,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
89,"Don't Let Me Down","The Chainsmokers",27766,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
90,Photograph,"Ed Sheeran",27758,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
91,"What Do I Know?","Ed Sheeran",27734,https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92
92,"I Got You","Bebe Rexha",27652,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
93,成名在望,Mayday,27595,https://open.spotify.com/track/42I0KSHHaN51Q9KgQ0MhPT
94,Starving,"Hailee Steinfeld",27398,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
95,頑固,Mayday,26309,https://open.spotify.com/track/0B2odvEgW0NHtoYuByRPcR
96,好愛好散,"Andrew Tan",25910,https://open.spotify.com/track/47Qq2E5MqL30jOkaruCOnL
97,她說,"JJ Lin",25713,https://open.spotify.com/track/632VyMrvhsHIsO4zq9khts
98,"In the Name of Love","Martin Garrix",25331,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
99,"Let Me Love You","DJ Snake",25160,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
100,"The Other",Lauv,25085,https://open.spotify.com/track/1lntL1cI2UIWlxjL5QiN8g
101,Beautiful,Crush,24816,https://open.spotify.com/track/6mzF8HvHdVrzJNd8M1uFCS
102,"How Would You Feel (Paean)","Ed Sheeran",24615,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
103,給眼淚一點時間,"Huang Yali",24581,https://open.spotify.com/track/62B73OiAcokQa8QL5kLrmC
104,Touch,"Little Mix",24513,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
105,"Don't Wanna Know","Maroon 5",24439,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
106,"New Man","Ed Sheeran",24417,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG
107,"Don't Leave",Snakehips,24238,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
108,動物世界,"Joker Xue",24227,https://open.spotify.com/track/0kBIGMw5ngDwLWUy2RrUw6
109,Blem,Drake,24209,https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt
110,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",24058,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
111,修煉愛情,"JJ Lin",23962,https://open.spotify.com/track/190kU2WKyIzx9XaBjfWRPk
112,聽說聽說,藍又時,22967,https://open.spotify.com/track/0XPaE40MpRUNjPaJjgvAiS
113,"The Scientist",Coldplay,22871,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
114,愛.這件事情,"Maggie Fu",22460,https://open.spotify.com/track/7LLj7DoK2rqJaDbjshn7zN
115,"By Your Side","Jonas Blue",22227,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
116,Everyday,"Ariana Grande",21914,https://open.spotify.com/track/3FiE2d325mIOc4YjkSLVJR
117,Congratulations,"Post Malone",21753,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
118,你最在乎的事,蕭閎仁,21691,https://open.spotify.com/track/4bh8MEA9GSIpjQinouyKcD
119,Fine,TAEYEON,21347,https://open.spotify.com/track/6CdUgvL597jWmW4w8P5kHs
120,"Sooner Or Later","Aaron Carter",21161,https://open.spotify.com/track/6wV12xIUb8oFY7lBy4KuQe
121,我不願讓你一個人,Mayday,21160,https://open.spotify.com/track/1mgRnm7MhmaMixc5w3huis
122,失落沙洲,"LaLa Hsu",20919,https://open.spotify.com/track/4vBoopG4WzohMju1GUmwoi
123,"Hymn For The Weekend",Coldplay,20834,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
124,"愛 請問怎麼走",A-Lin,20795,https://open.spotify.com/track/2mqHMawyHWU5B5f2wA299P
125,告白气球,陳以桐,20742,https://open.spotify.com/track/0lk8GaCBo5UmCtyzzFQgFf
126,"Treat You Better","Shawn Mendes",20740,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
127,Roses,"The Chainsmokers",20611,https://open.spotify.com/track/6O6M7pJLABmfBRoGZMu76Y
128,"彩虹 - Remastered","A-Mei Chang",20479,https://open.spotify.com/track/3OdzZtbKhKpQNkN2fQGNo8
129,"It's Gotta Be You",Isaiah,20337,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
130,鍊愛,"Jess Lee",20333,https://open.spotify.com/track/3dnUMJEjZ9AmukOaj7xIvd
131,"PLAYING WITH FIRE",BLACKPINK,20173,https://open.spotify.com/track/5ANbXf5qR48a4jfFnSq80w
132,TG4M,"Zara Larsson",20098,https://open.spotify.com/track/4uoumbAMEMaKdtiv763jKz
133,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",20091,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
134,TT,TWICE,19849,https://open.spotify.com/track/1nMbZ9OsVNSLEyijI80EST
135,"Love Yourself","Justin Bieber",19618,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
136,"Work from Home","Fifth Harmony",19442,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
137,"FXXK IT",BIGBANG,19175,https://open.spotify.com/track/0YVsrgp4OOUhFuYMAVQazV
138,"This Is What You Came For","Calvin Harris",19063,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
139,妮妮,"Nico & Kim",18870,https://open.spotify.com/track/5Gq33bYcS7uGKKW3ctedfG
140,"Thinking Out Loud","Ed Sheeran",18574,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
141,"Lost Boy","Ruth B.",18379,https://open.spotify.com/track/0zMzyHAeMvwq5CRstru1Fp
142,"Heavy (feat. Kiiara)","Linkin Park",18085,https://open.spotify.com/track/104buTcnP2AsxqB7U1FIZ4
143,"Light My Body Up (feat. Nicki Minaj & Lil Wayne)","David Guetta",17995,https://open.spotify.com/track/3vgNmjuRDnGLxUFGCLkwpm
144,擁抱,Mayday,17850,https://open.spotify.com/track/5HYBtE4U1oBmak8WoItiqJ
145,"Cheap Thrills",Sia,17839,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
146,"Not Today",BTS,17767,https://open.spotify.com/track/7KlTFTpy7dXLzr2NtLkvG6
147,Portland,Drake,17697,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
148,"Lights Down Low",MAX,17590,https://open.spotify.com/track/1sYSP7gKa5kdKIfhANfori
149,Sugar,"Maroon 5",17571,https://open.spotify.com/track/494OU6M7NOf4ICYb4zWCf5
