Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",10777772,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Something Just Like This","The Chainsmokers",8825664,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
3,"iSpy (feat. Lil Yachty)",KYLE,8391524,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
4,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,8026650,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
5,"It Ain't Me (with Selena Gomez)",Kygo,7532158,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
6,"Bounce Back","Big Sean",6923692,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,6727206,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
8,"That's What I Like","Bruno Mars",6710236,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
9,Slide,"Calvin Harris",6335750,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
10,Congratulations,"Post Malone",6292317,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
11,"Tunnel Vision","Kodak Black",6234631,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
12,Paris,"The Chainsmokers",6209037,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
13,Issues,"Julia Michaels",5992382,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
14,"Stay (with Alessia Cara)",Zedd,5548227,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
15,"Fake Love",Drake,5501421,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
16,T-Shirt,Migos,5319840,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
17,"Mask Off",Future,5242701,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
18,"I Feel It Coming","The Weeknd",4688841,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
19,"Body Like A Back Road","Sam Hunt",4519864,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
20,Starboy,"The Weeknd",4496558,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
21,"Chained To The Rhythm","Katy Perry",4385327,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
22,"Comin Out Strong",Future,4245313,https://open.spotify.com/track/3mRcWCyteY2133a7xVMrYw
23,Swang,"Rae Sremmurd",4240576,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
24,"Say You Won't Let Go","James Arthur",4195577,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
25,Cold,"Maroon 5",4088089,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
26,Closer,"The Chainsmokers",4084978,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
27,Believer,"Imagine Dragons",4025930,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
28,"Bad Things (with Camila Cabello)","Machine Gun Kelly",3996197,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
29,"Scared to Be Lonely","Martin Garrix",3991647,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
30,Selfish,Future,3919408,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
31,Caroline,Aminé,3870089,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
32,Moves,"Big Sean",3580163,https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS
33,"All Time Low","Jon Bellion",3561475,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
34,"How Far I'll Go - From ""Moana""","Alessia Cara",3476193,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
35,"Black Beatles","Rae Sremmurd",3442957,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
36,goosebumps,"Travis Scott",3423026,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
